date,account_id,project,service,usage_type,region,cost
2025-01-14,987654321,Analytics,AmazonRDS,Database,us-west-2,7350.00
2025-01-14,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,12000.00
2025-01-14,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,6450.00
2025-01-15,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,18440.00
2025-01-15,123456789,CorePlatform,AmazonS3,Storage,us-east-1,4770.00
2025-01-15,987654321,Analytics,AmazonRDS,Database,us-west-2,7400.00
2025-01-15,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,12100.00
2025-01-15,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,6500.00
2025-01-16,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,18560.00
2025-01-16,123456789,CorePlatform,AmazonS3,Storage,us-east-1,4810.00
2025-01-16,987654321,Analytics,AmazonRDS,Database,us-west-2,7450.00
2025-01-16,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,12200.00
2025-01-16,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,6550.00
2025-01-17,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,18680.00
2025-01-17,123456789,CorePlatform,AmazonS3,Storage,us-east-1,4850.00
2025-01-17,987654321,Analytics,AmazonRDS,Database,us-west-2,7500.00
2025-01-17,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,12300.00
2025-01-17,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,6600.00
2025-01-18,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,18800.00
2025-01-18,123456789,CorePlatform,AmazonS3,Storage,us-east-1,4890.00
2025-01-18,987654321,Analytics,AmazonRDS,Database,us-west-2,7550.00
2025-01-18,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,12400.00
2025-01-18,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,6650.00
2025-01-19,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,18920.00
2025-01-19,123456789,CorePlatform,AmazonS3,Storage,us-east-1,4930.00
2025-01-19,987654321,Analytics,AmazonRDS,Database,us-west-2,7600.00
2025-01-19,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,12500.00
2025-01-19,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,6700.00
2025-01-20,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,19040.00
2025-01-20,123456789,CorePlatform,AmazonS3,Storage,us-east-1,4970.00
2025-01-20,987654321,Analytics,AmazonRDS,Database,us-west-2,7650.00
2025-01-20,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,12600.00
2025-01-20,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,6750.00
2025-01-21,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,19160.00
2025-01-21,123456789,CorePlatform,AmazonS3,Storage,us-east-1,5010.00
2025-01-21,987654321,Analytics,AmazonRDS,Database,us-west-2,7700.00
2025-01-21,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,12700.00
2025-01-21,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,6800.00
2025-01-22,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,19280.00
2025-01-22,123456789,CorePlatform,AmazonS3,Storage,us-east-1,5050.00
2025-01-22,987654321,Analytics,AmazonRDS,Database,us-west-2,7750.00
2025-01-22,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,12800.00
2025-01-22,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,6850.00
2025-01-23,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,19400.00
2025-01-23,123456789,CorePlatform,AmazonS3,Storage,us-east-1,5090.00
2025-01-23,987654321,Analytics,AmazonRDS,Database,us-west-2,7800.00
2025-01-23,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,12900.00
2025-01-23,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,6900.00
2025-01-24,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,19520.00
2025-01-24,123456789,CorePlatform,AmazonS3,Storage,us-east-1,5130.00
2025-01-24,987654321,Analytics,AmazonRDS,Database,us-west-2,7850.00
2025-01-24,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,13000.00
2025-01-24,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,6950.00
2025-01-25,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,19640.00
2025-01-25,123456789,CorePlatform,AmazonS3,Storage,us-east-1,5170.00
2025-01-25,987654321,Analytics,AmazonRDS,Database,us-west-2,7900.00
2025-01-25,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,13100.00
2025-01-25,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,7000.00
2025-01-26,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,19760.00
2025-01-26,123456789,CorePlatform,AmazonS3,Storage,us-east-1,5210.00
2025-01-26,987654321,Analytics,AmazonRDS,Database,us-west-2,7950.00
2025-01-26,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,13200.00
2025-01-26,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,7050.00
2025-01-27,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,19880.00
2025-01-27,123456789,CorePlatform,AmazonS3,Storage,us-east-1,5250.00
2025-01-27,987654321,Analytics,AmazonRDS,Database,us-west-2,8000.00
2025-01-27,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,13300.00
2025-01-27,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,7100.00
2025-01-28,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,20000.00
2025-01-28,123456789,CorePlatform,AmazonS3,Storage,us-east-1,5290.00
2025-01-28,987654321,Analytics,AmazonRDS,Database,us-west-2,8050.00
2025-01-28,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,13400.00
2025-01-28,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,7150.00
2025-01-29,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,20120.00
2025-01-29,123456789,CorePlatform,AmazonS3,Storage,us-east-1,5330.00
2025-01-29,987654321,Analytics,AmazonRDS,Database,us-west-2,8100.00
2025-01-29,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,13500.00
2025-01-29,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,7200.00
2025-01-30,123456789,CorePlatform,AmazonEC2,OnDemand,us-east-1,20240.00
2025-01-30,123456789,CorePlatform,AmazonS3,Storage,us-east-1,5370.00
2025-01-30,987654321,Analytics,AmazonRDS,Database,us-west-2,8150.00
2025-01-30,555555555,AIResearch,GCP Compute Engine,N1 Standard,us-central1,13600.00
2025-01-30,555555555,AIResearch,GCP BigQuery,Analysis,us-central1,7250.00
